UF;Munic­pio;Cod. da Escola;Rede;Ap_Media;Rend_6;Rend_7;Rend_8;Rend_9;Indicador de rendimento;Nota_SAEB_Mat;Nota_SAEB_ LP;Nota_Padronizada;IDEB
DF;Bras­lia;53009380;Estadual;87,9;100;87,2;88,9;73,5;0,863522;226,82;239,87;4,444833;3,8
DF;Bras­lia;53011589;Estadual;83,4;95,6;72,3;81,3;84,1;0,825044;239,28;240,48;4,662667;3,8
DF;Bras­lia;53010019;Estadual;86,5;NA;NA;100;83,3;0,908893;231,85;223,94;4,263167;3,9
DF;Bras­lia;53009665;Estadual;86,8;100;84,3;87,2;75;0,857199;240,4;244,53;4,748833;4,1
DF;Bras­lia;53006720;Estadual;94,6;100;82,1;100;94,9;0,936381;235,71;238,84;4,575833;4,3
DF;Bras­lia;53007921;Estadual;89,9;96,4;88,5;96,2;77,2;0,888469;248,87;243,3;4,8695;4,3
DF;Bras­lia;53009002;Estadual;94,5;96,9;94,8;94,9;91;0,943511;234,93;238,62;4,559167;4,3
DF;Bras­lia;53011023;Estadual;91,2;92;92;92,9;86,4;0,907493;242,05;245,49;4,792333;4,3
DF;Bras­lia;53018605;Estadual;89,3;100;80,7;98,3;81,5;0,892171;245,69;246,15;4,864;4,3
DF;Bras­lia;53005007;Estadual;93,1;95,5;88;94,8;93,5;0,928536;243,92;239,63;4,725833;4,4
DF;Bras­lia;53011066;Estadual;96,3;NA;100;95,7;96,2;0,972626;236,7;232,36;4,484333;4,4
DF;Bras­lia;53012127;Estadual;92,3;98,9;84,4;95,8;93,9;0,929204;239,39;241,91;4,688333;4,4
DF;Bras­lia;53014260;Estadual;85,4;98,4;69;92,8;80,6;0,836152;255,15;262,18;5,288833;4,4
DF;Bras­lia;53017412;Estadual;90,8;90,8;88,3;93,3;100;0,929015;248,9;232,44;4,689;4,4
DF;Bras­lia;53019601;Estadual;94,7;98,8;89,6;97,9;94,4;0,950347;239,31;235,75;4,584333;4,4
DF;Bras­lia;53005392;Estadual;98;100;96,5;98,9;97,1;0,981052;238,47;238,16;4,6105;4,5
DF;Bras­lia;53006038;Estadual;90,9;100;87,5;100;71,4;0,880395;260,64;246,18;5,113667;4,5
DF;Bras­lia;53009410;Estadual;92,5;97,6;90,7;93,7;89;0,926364;246,87;245,44;4,871833;4,5
DF;Bras­lia;53011040;Estadual;95,6;98,7;93,3;98,9;90,1;0,951026;240,73;244,44;4,752833;4,5
DF;Bras­lia;53002466;Estadual;96,3;100;90;100;95,2;0,961185;239,99;244,71;4,745;4,6
DF;Bras­lia;53002512;Estadual;94,3;94,1;91,7;96,3;94,1;0,940218;247,67;247,41;4,918;4,6
DF;Bras­lia;53003519;Estadual;95,5;97,9;90,1;95,7;97,6;0,952188;246,82;243,06;4,831333;4,6
